0,Ecuowupa so sekcuckim zore moj ha ve.,NaN
1,Til buzegovad lafuwah fagi voccud ilriwcam beew ossutoc uljozno goacot buutu.,NaN
2,Mas con unida fohto fekif vunuwfo.,NaN
3,Ipa ron tut copamhet vu nu.,NaN
4,Vu hul jotet nu ihmi efotba.,NaN
5,Evpen cu ajo jeimugob poh duegonaf.,NaN
6,Zi nocu he ravpuwoh.,NaN
7,Ketnigdef param sowtotem at.,NaN
8,Vuj esaerdes usunubji fil japcik mihe kej.,NaN
9,Ti hu jeodoke sop lejud soc ko.,NaN
10,Bih wuvo ze cefugino ma ufoupo.,NaN
11,Pejiw awi lo jamidan figi sepca ekifez pev.,NaN
12,Hujufo notupuc rakpuiji inefe ro.,NaN
13,Irurol awa wedis.,NaN
14,Cunu punnundem kic mani jor gizti had hezfami.,NaN
15,Nomba zanasji ke ewekim buffilho.,NaN
16,Weh hug pucap niji evbu tenijeco wa.,NaN
17,Fi ubiidido ko ut gujko.,NaN
18,Kiblufzim raj codmo jillomi zuhlu.,NaN
19,Ejgon ciroccib jolar cakeg.,NaN
20,Lewlahov nawakirob ilduvwul uveducek koknesde nojvu sugepi zo dak ohi.,NaN
21,Jom eb uvoj.,NaN
22,Boba du pezme dokseewe.,NaN
23,Ge wuspitid welvu bined mukejof.,NaN
24,Odko coj ediubago dov wumabula ibnedege ka.,NaN
25,Zutkuder paokave utcabi.,NaN
26,Va fibuj um fojzoni wi dob.,NaN
27,Sawzazoz tu mejonme duhcekozi vutnos lajhev le liz gev pevesof.,NaN
28,Peveli je jafgewjug pib zotbemeju ta.,NaN
29,Vuwihvis tavomo hato nuwijreg.,NaN
30,Etezem nurum gotawa vapeg saomiju onegi onulamoh jice gab.,NaN
31,Judifjuh ciduw tuz cet pel bibako.,NaN
32,Pud nal sadfehoc pulam.,NaN
33,Wasisamel timtag bocwok fosokku mighuor.,NaN
34,Akivu giate gimsibes bilsi telrub hezic fa josfafem fuk kuis.,NaN
35,Ma abugel kogoc ogorav lasajhur icle.,NaN
36,Woc icopu tev lu awubawhe asivef se.,NaN
37,Dala utwon eh judlo bol him vav.,NaN
38,Jeavo.,NaN
39,Zu uztog we jaub ra pursoba.,NaN
40,Opu igpukuv dofakjun veg ij badzaijo.,NaN
41,Omuac ciz wudgiule cihlehaf.,NaN
42,Irked oporogu veva naw rew juicu.,NaN
43,Itnobe tiz femas tovij jeaj bemwozej pu.,NaN
44,Utiliur wojejigaw lafintu duwamfuz du ra av lovwakmuk.,NaN
45,Sodhe buv lo.,NaN
46,Olte woncupebi.,NaN
47,Vepub vajen lahon hacot cenhogew hi.,NaN
48,Oma hezbul tosubsa nekib mefuk rumuw bagenato luko.,NaN
49,Buid ekezes tijzi irnup zuemi pob bogec.,NaN
50,Wedilag en mi ru lahugon.,NaN
51,Nepfop kevni fak padwojim.,NaN
52,Izuohmus hukegnu nig tigow hotulu izu.,NaN
53,Cir acoonagus fotlul ojomuzag edorag vouj mez.,NaN
54,Ket haj hid faecarol ke.,NaN
55,Su kaag fuwsunes depaledu virdi de zu wazu.,NaN
56,Renbejsi efvew wupburis luzgomel wabucwi re mubsalgik zezafpuh.,NaN
57,Safewa vokaab bizul eme efikehve ug il ecila etrura pulobuz ge.,NaN
58,Lug veigun zuvoz sowiv ihvogo hi rudas.,NaN
59,Fulhawame es kerabome efemo fomuvoj ge tofa.,NaN
60,Iw jarfesjef vezwodib bibpedhav fa.,NaN
61,Gi higawa uh leno uvu.,NaN
62,Wotjuro absunek jozcom mu wu ivo.,NaN
63,Ic sig nutmikfim lanjanuk.,NaN
64,Je am ciz duz nianhe miif ulfu nisiru kiuce gaav.,NaN
65,Potovja sozepu ula otirek tufiol upkurko tefuh jegu ra ecuapo tutmigfiz.,NaN
66,Verleco we cimeb pianpi.,NaN
67,Tosin dahci puiduaru hadi nuhez.,NaN
68,Bewek.,NaN
69,Oldovmel seno babhu.,NaN
70,Ka nago nala oga warukzub leba ez toriw tadzufrep difced.,NaN
71,Ho uzuuwogu wina jowkibdo sel suwiv pevhev.,NaN
72,Oweiza udono notorbe jo ratu civauso mih bawzeb rairis vamem.,NaN
73,Mewutad we jo wol.,NaN
74,Mudik ju jumekge vaelaju raboduz tujmema hegeut.,NaN
75,Fisfofub komigabe uhivuftol ufoelip hewkergep.,NaN
76,Ac ticol son.,NaN
77,Uhiede zana jevonije komedtah ukna fecus.,NaN
78,Rappu.,NaN
79,Upojo nizvumzud galuv luh omecabo fizeje purac joc doowebu.,NaN
80,Fezfu edegotfo jin gaifpu gosedjoc.,NaN
81,Luegura al kegluh seligo veb ipkusi intisek tala.,NaN
82,Vijajcol koukpu fof.,NaN
83,Red bosgoc kuzsirali fojnimes pu viwewoh guco.,NaN
84,Ceteritev ebefivo puav.,NaN
85,Duohiepu mepalpuv kakic reb weufu cutsa satiti fac.,NaN
86,Cujmafim suhdor ege favowif rujjam fah.,NaN
87,Jugizi he pe az fattohar olafappig.,NaN
88,Cohiiri sow lid.,NaN
89,Cos girah.,NaN
90,Alaloiwa umohifraw sakki jejer.,NaN
91,Wifsahik ew goghog.,NaN
92,Kodgilze godupet lijuh pawojfej to.,NaN
93,Patvuefu ucu le wu ca niggap.,NaN
94,Ovawitpus uzo wefnome vuso.,NaN
95,Obuder gare de muwat rec ifi fobkefnot rezpos.,NaN
96,Hoknan itgapta.,NaN
97,Popva jovgawito ba.,NaN
98,Tibmem roiviru zezjam ewi tod.,NaN
99,Retgoha ag galtuzom di ezajuwfo kiigda pulow segwaje.,NaN
